"label","n","parent","id"
"Costa Rica",27,"total  -  Fantasy","total  -  Fantasy  -  Costa Rica"
"Costa Rica",3,"total  -  Film Noir","total  -  Film Noir  -  Costa Rica"
"Costa Rica",1,"total  -  Game Show","total  -  Game Show  -  Costa Rica"
"Costa Rica",31,"total  -  Horror","total  -  Horror  -  Costa Rica"
"Costa Rica",32,"total  -  Music","total  -  Music  -  Costa Rica"
"Costa Rica",47,"total  -  Mystery","total  -  Mystery  -  Costa Rica"
"Costa Rica",4,"total  -  Reality TV","total  -  Reality TV  -  Costa Rica"
"Costa Rica",138,"total  -  Romance","total  -  Romance  -  Costa Rica"
"Costa Rica",18,"total  -  Sci Fi","total  -  Sci Fi  -  Costa Rica"
"Costa Rica",11,"total  -  Sport","total  -  Sport  -  Costa Rica"
"Costa Rica",70,"total  -  Thriller","total  -  Thriller  -  Costa Rica"
"Costa Rica",2,"total  -  War","total  -  War  -  Costa Rica"
"Costa Rica",6,"total  -  Western","total  -  Western  -  Costa Rica"
"Croatia",187,"total  -  Action","total  -  Action  -  Croatia"
"Croatia",114,"total  -  Adventure","total  -  Adventure  -  Croatia"
"Croatia",50,"total  -  Animation","total  -  Animation  -  Croatia"
"Croatia",8,"total  -  Biography","total  -  Biography  -  Croatia"
"Croatia",202,"total  -  Comedy","total  -  Comedy  -  Croatia"
"Croatia",147,"total  -  Crime","total  -  Crime  -  Croatia"
"Croatia",28,"total  -  Documentary","total  -  Documentary  -  Croatia"
"Croatia",307,"total  -  Drama","total  -  Drama  -  Croatia"
"Croatia",22,"total  -  Family","total  -  Family  -  Croatia"
"Croatia",28,"total  -  Fantasy","total  -  Fantasy  -  Croatia"
"Croatia",5,"total  -  Film Noir","total  -  Film Noir  -  Croatia"
"Croatia",15,"total  -  Game Show","total  -  Game Show  -  Croatia"
"Croatia",5,"total  -  History","total  -  History  -  Croatia"
"Croatia",23,"total  -  Horror","total  -  Horror  -  Croatia"
"Croatia",5,"total  -  Music","total  -  Music  -  Croatia"
"Croatia",51,"total  -  Mystery","total  -  Mystery  -  Croatia"
"Croatia",19,"total  -  Reality TV","total  -  Reality TV  -  Croatia"
"Croatia",100,"total  -  Romance","total  -  Romance  -  Croatia"
"Croatia",17,"total  -  Sci Fi","total  -  Sci Fi  -  Croatia"
"Croatia",14,"total  -  Sport","total  -  Sport  -  Croatia"
"Croatia",64,"total  -  Thriller","total  -  Thriller  -  Croatia"
"Croatia",4,"total  -  War","total  -  War  -  Croatia"
"Croatia",6,"total  -  Western","total  -  Western  -  Croatia"
"Cyprus",215,"total  -  Action","total  -  Action  -  Cyprus"
"Cyprus",134,"total  -  Adventure","total  -  Adventure  -  Cyprus"
"Cyprus",46,"total  -  Animation","total  -  Animation  -  Cyprus"
"Cyprus",7,"total  -  Biography","total  -  Biography  -  Cyprus"
"Cyprus",186,"total  -  Comedy","total  -  Comedy  -  Cyprus"
"Cyprus",140,"total  -  Crime","total  -  Crime  -  Cyprus"
"Cyprus",22,"total  -  Documentary","total  -  Documentary  -  Cyprus"
"Cyprus",339,"total  -  Drama","total  -  Drama  -  Cyprus"
"Cyprus",27,"total  -  Family","total  -  Family  -  Cyprus"
"Cyprus",28,"total  -  Fantasy","total  -  Fantasy  -  Cyprus"
"Cyprus",3,"total  -  Film Noir","total  -  Film Noir  -  Cyprus"
"Cyprus",11,"total  -  Game Show","total  -  Game Show  -  Cyprus"
"Cyprus",2,"total  -  History","total  -  History  -  Cyprus"
"Cyprus",21,"total  -  Horror","total  -  Horror  -  Cyprus"
"Cyprus",2,"total  -  Music","total  -  Music  -  Cyprus"
"Cyprus",52,"total  -  Mystery","total  -  Mystery  -  Cyprus"
"Cyprus",15,"total  -  Reality TV","total  -  Reality TV  -  Cyprus"
"Cyprus",92,"total  -  Romance","total  -  Romance  -  Cyprus"
"Cyprus",48,"total  -  Sci Fi","total  -  Sci Fi  -  Cyprus"
"Cyprus",10,"total  -  Sport","total  -  Sport  -  Cyprus"
"Cyprus",57,"total  -  Thriller","total  -  Thriller  -  Cyprus"
"Cyprus",4,"total  -  War","total  -  War  -  Cyprus"
"Cyprus",3,"total  -  Western","total  -  Western  -  Cyprus"
"Czech Republic",207,"total  -  Action","total  -  Action  -  Czech Republic"
"Czech Republic",5,"total  -  Adult","total  -  Adult  -  Czech Republic"
"Czech Republic",151,"total  -  Adventure","total  -  Adventure  -  Czech Republic"
"Czech Republic",82,"total  -  Animation","total  -  Animation  -  Czech Republic"
"Czech Republic",13,"total  -  Biography","total  -  Biography  -  Czech Republic"
"Czech Republic",185,"total  -  Comedy","total  -  Comedy  -  Czech Republic"
"Czech Republic",140,"total  -  Crime","total  -  Crime  -  Czech Republic"
"Czech Republic",30,"total  -  Documentary","total  -  Documentary  -  Czech Republic"
"Czech Republic",294,"total  -  Drama","total  -  Drama  -  Czech Republic"
"Czech Republic",23,"total  -  Family","total  -  Family  -  Czech Republic"
"Czech Republic",49,"total  -  Fantasy","total  -  Fantasy  -  Czech Republic"
"Czech Republic",3,"total  -  Film Noir","total  -  Film Noir  -  Czech Republic"
"Czech Republic",19,"total  -  Game Show","total  -  Game Show  -  Czech Republic"
"Czech Republic",3,"total  -  History","total  -  History  -  Czech Republic"
"Czech Republic",31,"total  -  Horror","total  -  Horror  -  Czech Republic"
"Czech Republic",4,"total  -  Music","total  -  Music  -  Czech Republic"
"Czech Republic",55,"total  -  Mystery","total  -  Mystery  -  Czech Republic"
"Czech Republic",23,"total  -  Reality TV","total  -  Reality TV  -  Czech Republic"
"Czech Republic",82,"total  -  Romance","total  -  Romance  -  Czech Republic"
