"parents","n","labels","id"
"El Salvador",25,"Horror","El Salvador  -  Horror"
"El Salvador",30,"Music","El Salvador  -  Music"
"El Salvador",43,"Mystery","El Salvador  -  Mystery"
"El Salvador",2,"Reality TV","El Salvador  -  Reality TV"
"El Salvador",110,"Romance","El Salvador  -  Romance"
"El Salvador",21,"Sci Fi","El Salvador  -  Sci Fi"
"El Salvador",8,"Sport","El Salvador  -  Sport"
"El Salvador",63,"Thriller","El Salvador  -  Thriller"
"El Salvador",2,"War","El Salvador  -  War"
"El Salvador",5,"Western","El Salvador  -  Western"
"Estonia",193,"Action","Estonia  -  Action"
"Estonia",126,"Adventure","Estonia  -  Adventure"
"Estonia",52,"Animation","Estonia  -  Animation"
"Estonia",12,"Biography","Estonia  -  Biography"
"Estonia",217,"Comedy","Estonia  -  Comedy"
"Estonia",114,"Crime","Estonia  -  Crime"
"Estonia",24,"Documentary","Estonia  -  Documentary"
"Estonia",261,"Drama","Estonia  -  Drama"
"Estonia",26,"Family","Estonia  -  Family"
"Estonia",44,"Fantasy","Estonia  -  Fantasy"
"Estonia",4,"Film Noir","Estonia  -  Film Noir"
"Estonia",17,"Game Show","Estonia  -  Game Show"
"Estonia",1,"History","Estonia  -  History"
"Estonia",31,"Horror","Estonia  -  Horror"
"Estonia",4,"Music","Estonia  -  Music"
"Estonia",2,"Musical","Estonia  -  Musical"
"Estonia",60,"Mystery","Estonia  -  Mystery"
"Estonia",24,"Reality TV","Estonia  -  Reality TV"
